pmid,species_name,species_id,gene_name,gene_id
39618401,dog,9615,,
39618429,patients,9606,,
39618430,,,,
39618474,rice,4530,,
39618475,,,,
39618480,human,9606,,
39618483,,,,
39618490,,,,
39618492,patients,9606,C3G,2889
39618495,human,9606,,
39618497,flax,4006,,
39618498,Staphylococcus aureus,1280,,
39618503,,,,
39618510,,,,
39618519,patients,9606,,
39618527,patients,9606,,
39618528,patients,9606,,
39618538,HBV,10407,HERBAL,
39618554,infants,9606,,
39618555,,,acetylcholinesterase,43
39618559,patients,9606,,
39618562,patient,9606,,
39618564,patient,9606,,
39618567,patients,9606,,
39618569,patients,9606,,
39618583,patient,9606,,
39618589,patients,9606,,
39618594,patient,9606,,
39618600,patient,9606,,
39618603,patients,9606,,
39618604,patient,9606,,
39618605,patients,9606,IgA,973
39618614,patients,9606,,
39618624,patient,9606,,
39618635,patient,9606,,
39618636,patients,9606,,
39618639,Acinetobacter baumannii,470,,
39618651,patient,9606,IgA,973
39618660,patient,9606,,
39618667,,,,
39618668,patient,9606,,
39618670,patients,9606,,
39618686,patients,9606,,
39618689,,,,
39618694,Patients,9606,,
39618699,,,,
39618703,patient,9606,,
39618705,patient,9606,CHD7,55636
39618716,women,9606,,
39618730,Patients,9606,,
39618766,,,,
39618773,patient,9606,,
39618775,patients,9606,,
39618777,,,,
39618778,human,9606,,
39618779,patients,9606,BRAF,673
39618781,,,,
39618809,Agriphila straminella,572809,,
39618813,,,,
39618827,patients,9606,,
39618830,patients,9606,,
39618833,,,,
39618837,patients,9606,,
39618842,patients,9606,,
39618848,patients,9606,,
39618856,patients,9606,albumin,213
39618866,patients,9606,,
39618871,patients,9606,,
39618877,patients,9606,,
39618886,patient,9606,STING,340061
39618889,,,,
39618898,,,,
39618908,,,,
39618909,,,,
39618913,patient,9606,,
39618919,,,,
39618923,,,IRF2,16363
